,city,job_title,company_name,location,summary,rating
88,Denver,Data Analyst and ETL Developer,Noodles & Company,N/A,"The developer contributes to data warehouse architecture and data quality activities – all built on the Microsoft BI stack which includes SSIS, SSAS (tabular),…",3.5
89,Denver,Testbed & Simulation Model Developer,LOCKHEED MARTIN CORPORATION,N/A,Experience working with analyzing large scale data from a variety of sources and applying statistical methods.,4.0
90,Denver,Customer Experience Officer,Land Title Guarantee Co.,N/A,Compile data for over/short report and escheating.,3.6
91,Hartford,"2VP, Architecture ( Data & Analytics, Cloud, AI )","The Travelers Companies, Inc.","Hartford, CT 06101 (North Meadows area)",Travelers Business Insurance is looking for a 2VP of Architecture to lead data and information architecture within the BI Data & Analytics Value Stream.,3.7
92,Hartford,ETL Developer,"The Travelers Companies, Inc.","Hartford, CT 06101 (North Meadows area)","Incorporate core data management competencies - data governance, data security, data quality.",3.7
93,Hartford,Jr. Big Data Developer,Enhance IT,United States,"Demonstrated ability to build processes that support data transformation, data structures, metadata, dependency and workload management.",3.1
94,Hartford,Guidewire Software Engineer,The Hartford,"Hartford, CT 06112 (Upper Albany area)",Exposure to Python and exposing Data Science models as REST services is a big plus.,3.7
95,Hartford,Hiring Event-Big Data/Hadoop developers,Infosys Limited,"Hartford, CT",Experience in preparing test scripts and test cases to validate data and maintaining data quality.,3.9
96,Hartford,DataStage ETL Developer (REMOTE),CareCentrix,"Hartford, CT 06103 (Downtown area)",Acquire data from primary or secondary data sources.,2.8
97,Hartford,Big Data Developer,Cognizant Technology Solutions,N/A,Experience in developing stored Procedures/writing Queries to analyze and transform data.,3.9
98,Hartford,Bigdata/Hadoop/MSBI developers,Infosys Limited,"Hartford, CT",Experience in preparing test scripts and test cases to validate data and maintaining data quality.,3.9
99,Hartford,Spark Scala Big Data Software Engineers - junior to Director - deep pockets,The Bivium Group,Connecticut,"MUST HAVE Spark/Scala production experience AND have worked on big data, ai, nlp or healthcare analytics.",N/A
100,Hartford,"Manager, Software Engineering (SRE)",New Relic,"Hartford, CT 06106",Lead and grow teams of software engineers and SREs that work on the observability and reliability of our data platform.,3.3
101,Hartford,Big Data Developer,GSS Infotech,N/A,"Design, build and maintain data pipelines in Big data using Hadoop & Spark.",3.5
102,Hartford,Data Scientist,Cognizant Technology Solutions,N/A,"Migrate production SAS jobs to a job scheduling framework over big data cloud platforms such as AWS, Azure or GCP.",3.9
103,Hartford,"2VP, Architecture ( Data & Analytics, Cloud, AI )",Travelers,N/A,Travelers Business Insurance is looking for a 2VP of Architecture to lead data and information architecture within the BI Data & Analytics Value Stream.,3.7
104,Hartford,ETL Developer,Travelers,N/A,"Incorporate core data management competencies - data governance, data security, data quality.",3.7
105,Hartford,"Senior Associate, Cloud Application Developer",KPMG,N/A,"From applied AI to optimization to big data platform engineering, your analytical and technical skills will drive real impact in the business world.",4.0
106,Atlanta,Jr. Big Data Developer,Enhance IT,United States,"Demonstrated ability to build processes that support data transformation, data structures, metadata, dependency and workload management.",3.1
107,Atlanta,Sr. Data Visualization Developer,"Chick-fil-A, Inc.","Atlanta, GA 30349","Perform detailed analysis of source systems, source systems data and model the data in the visualization tool (Tableau).",4.0
